RK,NAME,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
154,Lou WilliamsLAC/ATL,SG,66,21.6,11.3,4,9.8,41,1,2.6,39.9,2.3,2.6,86.7,2.1,3.4,0.7,0.1,1.6,2,0,14.04
155,Jae'Sean TateHOU,SF,70,29.2,11.3,4.5,8.9,50.6,0.9,2.8,30.8,1.5,2.1,69.4,5.3,2.5,1.2,0.5,1.4,3,0,13.83
156,Cam ReddishATL,SF,26,28.8,11.2,3.7,10.1,36.5,1.3,4.8,26.2,2.6,3.2,81.7,4,1.3,1.3,0.3,1.3,0,0,9.36
157,Wendell Carter Jr.CHI/ORL,C,54,25.5,11.2,4.3,8.5,50.3,0.3,0.9,29.4,2.4,3.3,73.2,8.2,1.9,0.6,0.8,1.4,13,0,16.76
158,Naz ReidMIN,C,70,19.2,11.2,4.3,8.3,52.3,0.9,2.5,35.1,1.6,2.4,69.3,4.6,1,0.5,1.1,1,1,0,18.27
159,Enes FreedomPOR,C,72,24.4,11.2,4.7,7.8,60.4,0,0.1,25,1.8,2.3,77.4,11,1.2,0.5,0.7,1.1,34,0,22.48
160,Armoni BrooksHOU,SG,20,26,11.2,3.9,9.6,40.6,3,7.9,38.2,0.4,0.6,58.3,3.4,1.5,0.6,0.3,1.1,0,0,10.47
161,Lonnie Walker IVSA,SG,60,25.4,11.2,4.3,10.2,42,1.7,4.7,35.5,1,1.2,81.4,2.6,1.7,0.5,0.3,1.1,0,0,9.85
162,Serge IbakaLAC,C,41,23.3,11.1,4.5,8.9,51,1,2.8,33.9,1,1.3,81.1,6.7,1.8,0.2,1.1,1.1,5,0,18.21
163,Nickeil Alexander-WalkerNO,SG,46,21.9,11,4.2,10,41.9,1.7,4.8,34.7,1,1.4,72.7,3.1,2.2,1,0.5,1.5,0,0,12.58
164,Jeff GreenBKN,PF,68,27,11,3.8,7.8,49.2,1.5,3.7,41.2,1.8,2.4,77.6,3.9,1.6,0.5,0.4,0.8,0,0,13.01
165,Blake GriffinBKN/DET,PF,46,25.8,11,3.8,8.9,42.3,1.5,4.5,34.1,1.9,2.5,74.4,4.9,3,0.7,0.3,1.3,2,0,12.93
166,Dwayne BaconORL,SG,72,25.7,10.9,4.1,10.1,40.2,0.8,2.9,28.5,2,2.4,82.4,3.1,1.3,0.6,0.1,0.6,0,0,9.99
167,Reggie BullockNY,SF,65,30,10.9,3.8,8.6,44.2,2.5,6.1,41,0.8,0.8,90.9,3.4,1.5,0.8,0.2,0.7,0,0,11.18
168,Oshae BrissettIND,SF,21,24.7,10.9,3.5,7.2,48.3,1.6,3.7,42.3,2.4,3.1,76.9,5.5,0.9,0.9,1,0.5,5,0,17.23
169,Patty MillsSA,PG,68,24.8,10.8,3.7,9,41.2,2.4,6.3,37.5,1,1.1,91,1.7,2.4,0.6,0,1,0,0,11.87
170,Cameron OliverHOU,F,4,21.8,10.8,4.8,8.3,57.6,1,3.3,30.8,0.3,1,25,5.3,1.3,0.5,1,0.8,1,0,17.29
171,Ty JeromeOKC,SG,33,23.9,10.7,3.9,8.7,44.6,2.2,5.1,42.3,0.8,1,76.5,2.8,3.6,0.6,0.2,1.4,0,0,13.44
172,Reggie JacksonLAC,PG,67,23,10.7,3.9,8.7,45,1.8,4.2,43.3,1,1.2,81.7,2.9,3.1,0.6,0.1,1.1,0,0,14.22
173,Grayson AllenMEM,SG,50,25.2,10.6,3.5,8.3,41.8,2.1,5.5,39.1,1.6,1.8,86.8,3.2,2.2,0.9,0.2,1,0,0,12.83
174,Justin HolidayIND,SF,72,30.3,10.5,3.6,8.7,41.3,2.4,6.3,38.2,0.9,1.2,78.8,3.6,1.7,1,0.6,0.8,0,0,10.47
175,Donte DiVincenzoMIL,SG,66,27.5,10.4,3.8,9.1,42,2,5.2,37.9,0.8,1.1,71.8,5.8,3.1,1.1,0.2,1.4,5,0,12.99
176,Cedi OsmanCLE,SF,59,25.6,10.4,3.7,9.9,37.4,1.7,5.5,30.6,1.3,1.6,80,3.4,2.9,0.9,0.2,1.4,2,0,10.34
177,Mason PlumleeDET,C,56,26.8,10.4,4.2,6.8,61.4,0,0.1,0,2,3,66.9,9.3,3.6,0.8,0.9,1.9,16,2,18.7
178,Brandon ClarkeMEM,PF,59,24,10.3,4.3,8.4,51.7,0.3,1.3,26,1.3,1.9,69,5.6,1.6,1,0.9,0.6,3,0,17.37
179,Delon WrightSAC/DET,SG,63,27.7,10.2,3.8,8.2,46.3,1,2.7,37.2,1.6,2,80.2,4.3,4.4,1.6,0.5,1.3,3,0,16.29
180,Monte MorrisDEN,PG,47,25.4,10.2,4,8.2,48.1,1.1,2.9,38.1,1.2,1.6,79.5,2,3.2,0.7,0.3,0.7,0,0,14.04
181,Elfrid PaytonNY,PG,63,23.6,10.1,4.3,9.9,43.2,0.4,1.6,28.6,1.2,1.7,68.2,3.4,3.2,0.7,0.1,1.6,0,0,11.8
182,Theo MaledonOKC,PG,65,27.4,10.1,3.5,9.4,36.8,1.6,4.8,33.5,1.6,2.1,74.8,3.2,3.5,0.9,0.2,2.2,1,0,8.19
183,Jeremy LambIND,SG,36,21.3,10.1,3.3,7.7,43.5,1.4,3.6,40.6,2,2.1,94.7,3.6,1.5,0.9,0.6,0.6,0,0,15.81
184,Jae CrowderPHX,PF,60,27.5,10.1,3.3,8.2,40.4,2.5,6.3,38.9,1,1.3,76,4.7,2.1,0.8,0.5,0.9,0,0,11.88
185,Bryn ForbesMIL,SG,70,19.3,10,3.6,7.6,47.3,2.2,4.9,45.2,0.7,0.9,77,1.6,0.6,0.3,0,0.6,1,0,12.84
186,Gary HarrisDEN/ORL,SG,39,27.7,9.9,3.5,8.8,40,1.2,3.6,34,1.6,2,82.1,2,2,0.7,0.3,0.9,0,0,9.18
187,Dorian Finney-SmithDAL,PF,60,32,9.8,3.7,7.8,47.2,2,5,39.4,0.5,0.7,75.6,5.4,1.7,0.9,0.4,0.8,1,0,12
188,Frank JacksonDET,PG,40,18.5,9.8,3.4,7.3,45.7,1.5,3.8,40.7,1.5,1.9,81.3,2.2,0.9,0.4,0,0.9,0,0,13.31
189,Kentavious Caldwell-PopeLAL,SG,67,28.4,9.7,3.3,7.6,43.1,1.8,4.4,41,1.4,1.7,86.6,2.7,1.9,0.9,0.4,1,1,0,10.74
190,Mike MuscalaOKC,C,35,18.4,9.7,3.4,7.6,44.6,1.9,5.3,37,0.9,1,91.7,3.8,0.8,0.2,0.3,0.6,0,0,14.72
191,Otto Porter Jr.CHI/ORL,SF,28,21.7,9.7,3.5,8.1,43.2,1.4,3.7,37.5,1.3,1.5,85.7,5.4,2,0.6,0.1,0.9,2,0,14.52
192,Daniel TheisBOS/CHI,C,65,24.6,9.6,3.9,7.2,54.1,0.8,2.3,32.2,1.1,1.7,67.3,5.5,1.7,0.6,0.9,1,6,0,15.02
193,Isaac OkoroCLE,SF,67,32.4,9.6,3.5,8.3,42,0.9,3.2,29,1.7,2.3,72.6,3.1,1.9,0.9,0.4,1.3,1,0,7.91
194,Wayne EllingtonDET,SG,46,22,9.6,3.2,7.3,44.1,2.5,6,42.2,0.6,0.8,80,1.8,1.5,0.4,0.2,0.7,0,0,12.27
195,Cameron JohnsonPHX,SF,60,24,9.6,3.4,8.1,42,2,5.6,34.9,0.8,1,84.7,3.3,1.4,0.6,0.3,0.7,0,0,11.83
196,Eric PaschallGS,F,40,17.4,9.5,3.7,7.5,49.7,0.5,1.4,33.3,1.7,2.4,71.3,3.2,1.3,0.3,0.2,1.1,0,0,13.45
197,Taurean PrinceCLE/BKN,PF,41,22.1,9.5,3.2,8,40.1,1.5,3.8,40,1.6,1.9,85.5,3.5,1.9,0.7,0.6,1.1,0,0,12.1
198,Danny GreenPHI,SF,69,28,9.5,3.2,7.9,41.2,2.5,6.3,40.5,0.4,0.6,77.5,3.8,1.7,1.3,0.8,1,1,0,12.14
199,Trevor ArizaOKC/MIA,SF,30,28,9.4,3.3,8,41.1,1.7,4.8,35,1.1,1.5,77.3,4.8,1.8,1,0.6,0.7,1,0,11.9
200,Cody ZellerCHA,C,48,20.9,9.4,3.8,6.8,55.9,0.1,0.6,14.3,1.8,2.5,71.4,6.8,1.8,0.6,0.4,1.1,8,0,18.22
201,Larry Nance Jr.CLE,PF,35,31.2,9.3,3.7,7.8,47.1,1.2,3.3,36,0.9,1.4,61.2,6.7,3.1,1.7,0.5,1.6,5,0,13.22
202,Kenyon Martin Jr.HOU,F,45,23.7,9.3,3.6,7.1,50.9,0.8,2.1,36.5,1.3,1.9,71.4,5.4,1.1,0.7,0.9,0.8,4,0,14.65
203,Landry ShametBKN,SG,61,23,9.3,3,7.5,40.8,2.1,5.5,38.7,1.1,1.3,84.6,1.8,1.6,0.5,0.2,0.8,0,0,10.39
204,Josh HartNO,SG,47,28.7,9.2,3.2,7.3,43.9,1.3,4.1,32.6,1.5,1.9,77.5,8,2.3,0.8,0.3,1,7,0,12.18
205,Patrick WilliamsCHI,PF,71,27.9,9.2,3.6,7.4,48.3,0.8,1.9,39.1,1.3,1.8,72.8,4.6,1.4,0.9,0.6,1.4,3,0,10.53
206,David NwabaHOU,SF,30,22.6,9.2,3.5,7.3,48.6,0.6,2.1,27,1.6,2.3,69.1,3.9,1,1,0.7,0.6,1,0,14.4
207,Desmond BaneMEM,SG,68,22.3,9.2,3.4,7.3,46.9,1.7,4,43.2,0.6,0.7,81.6,3.1,1.7,0.6,0.2,0.9,0,0,12.23
208,Furkan KorkmazPHI,SG,55,19.3,9.1,3.1,7.7,40.1,1.8,4.9,37.5,1.1,1.5,73.2,2.1,1.5,0.9,0.2,0.8,0,0,12.8
209,De'Anthony MeltonMEM,SG,52,20.1,9.1,3.3,7.6,43.8,1.7,4.1,41.2,0.8,1,80.4,3.1,2.5,1.2,0.6,1.3,1,0,15.28
210,Robin LopezWSH,C,71,19.1,9,3.8,6,63.3,0.1,0.3,27.8,1.4,1.9,72.3,3.8,0.8,0.2,0.6,1.1,3,0,16.79
211,Ivica ZubacLAC,C,72,22.3,9,3.6,5.5,65.2,0,0.1,25,1.9,2.4,78.9,7.2,1.3,0.3,0.9,1.1,13,0,19.1
212,Jaylen NowellMIN,SG,42,18.1,9,3.4,8,42.4,1.2,3.6,33.3,1.1,1.3,81.8,2.3,1.5,0.5,0.3,0.7,0,0,12.41
213,Talen Horton-TuckerLAL,SG,65,20.1,9,3.4,7.5,45.8,0.6,2,28.2,1.5,2,77.5,2.6,2.8,1,0.3,1.6,4,0,12.99
214,Paul MillsapDEN,PF,56,20.8,9,3.4,7.2,47.6,0.9,2.6,34.3,1.3,1.8,72.4,4.7,1.8,0.9,0.6,0.9,2,0,16.46
215,DeMarcus CousinsLAC/HOU,C,41,17.4,8.9,3.2,7.4,42.6,1.1,3.3,34.8,1.4,2,72.8,6.4,1.9,0.8,0.6,1.6,7,0,16.5
216,Michael Carter-WilliamsORL,PG,31,25.8,8.8,3.4,8.7,38.9,0.5,2,24.6,1.6,2.6,61.3,4.5,4.2,0.8,0.5,2.2,0,0,9.51
217,Bruce BrownBKN,SF,65,22.3,8.8,3.6,6.5,55.6,0.3,0.9,28.8,1.3,1.8,73.5,5.4,1.6,0.9,0.4,0.8,6,0,16.15
218,Danuel House Jr.HOU,SF,36,25.9,8.8,3.1,7.6,40.4,1.5,4.3,34.6,1.1,1.8,65.1,3.7,1.9,0.6,0.4,1,0,0,9.12
219,Jay ScrubbLAC,SG,4,21,8.8,3.5,9,38.9,0.5,2.3,22.2,1.3,1.3,100,3.5,0.3,1,0,1.8,0,0,6.36
220,Dario SaricPHX,PF,50,17.4,8.7,3.1,6.8,44.7,0.9,2.7,34.8,1.7,2,84.8,3.8,1.3,0.6,0.1,1.1,0,0,14.4
221,Terence DavisSAC/TOR,SG,61,17.6,8.7,3.2,7.5,42.8,1.6,4.4,36.7,0.7,0.9,81.8,2.5,1.4,0.7,0.2,1,0,0,12.72
222,Isaiah RobyOKC,F,61,23.4,8.7,3.4,7,48.3,0.5,1.8,29.4,1.4,1.9,74.4,5.6,1.8,0.9,0.6,1.9,3,0,11.94
223,Raul NetoWSH,PG,64,21.9,8.7,3.3,7,46.8,1,2.6,39,1.2,1.3,88.2,2.4,2.3,1.1,0.1,0.8,0,0,13.01
224,George HillOKC/PHI,PG,30,22.4,8.7,3.2,6.6,48.2,1,2.7,38.7,1.3,1.7,80,2,2.4,0.8,0.2,1,0,0,13.13
225,T.J. McConnellIND,PG,69,26,8.6,4,7.1,55.9,0.2,0.7,31.3,0.5,0.7,68.8,3.7,6.6,1.9,0.3,2,5,1,16.98
226,Moses BrownOKC,C,43,21.4,8.6,3.4,6.2,54.5,0,0,0,1.8,2.9,61.9,8.9,0.2,0.7,1.1,1,12,0,18.83
227,Jakob PoeltlSA,C,69,26.7,8.6,3.8,6.2,61.6,0,0,0,0.9,1.8,50.8,7.9,1.9,0.7,1.8,1.2,15,0,17.53
228,Ricky RubioMIN,PG,68,26.1,8.6,2.8,7.3,38.8,1,3.1,30.8,1.9,2.2,86.7,3.3,6.4,1.4,0.1,1.6,4,0,13.53
229,Robert CovingtonPOR,PF,70,32,8.5,2.9,7.3,40.1,1.9,5.1,37.9,0.7,0.9,80.6,6.7,1.7,1.4,1.2,0.9,6,0,11.19
230,Svi MykhailiukOKC/DET,SG,66,20.1,8.5,3.2,7.7,41.1,1.6,4.8,33.4,0.6,0.8,76,2.5,1.7,0.8,0.2,1.3,0,0,10.47
231,Cameron PaynePHX,PG,60,18,8.4,3.2,6.6,48.4,1.2,2.8,44,0.8,0.9,89.3,2.4,3.6,0.6,0.3,1,1,0,17.47
232,James Ennis IIIORL,SF,41,24,8.4,2.8,5.9,47.3,1.1,2.5,43.3,1.7,2.1,80.5,4,1.5,0.8,0.2,0.9,1,0,12.54
233,Gabriel DeckOKC,SF,10,21.2,8.4,3.2,6.7,47.8,0.2,1.5,13.3,1.8,2.2,81.8,4,2.4,0.8,0,0.6,0,0,16.09
234,Mitchell RobinsonNY,C,31,27.5,8.3,3.7,5.7,65.3,0,0,0,0.8,1.7,49.1,8.1,0.5,1.1,1.5,0.8,5,0,17.7
235,Luke KennardLAC,SG,63,19.6,8.3,3.1,6.6,47.6,1.6,3.6,44.6,0.4,0.5,83.9,2.6,1.7,0.4,0.1,0.8,1,0,12.72
236,Cory JosephSAC/DET,PG,63,23,8.2,3.2,6.8,46.9,0.7,2.1,34.1,1.1,1.4,81.8,2.5,3.4,1,0.3,1.3,2,0,12.52
237,Sterling BrownHOU,SF,51,24.1,8.2,2.9,6.6,44.8,1.8,4.2,42.3,0.5,0.6,80.6,4.4,1.4,0.7,0.2,0.8,2,0,11.1
238,Aleksej PokusevskiOKC,PF,45,24.2,8.2,3.1,9.1,34.1,1.3,4.6,28,0.7,0.9,73.8,4.7,2.2,0.4,0.9,2.2,1,0,6.18
239,Hassan WhitesideSAC,C,36,15.2,8.1,3.5,6.2,56.3,0,0,0,1.1,2.2,51.9,6,0.6,0.3,1.3,1.1,4,0,19.28
240,JaMychal GreenDEN,PF,58,19.3,8.1,3,6.4,46.3,1.4,3.4,39.9,0.8,1,80.7,4.8,0.9,0.4,0.4,0.9,1,0,13.66
241,Nicolas BatumLAC,PF,67,27.4,8.1,2.9,6.1,46.4,1.6,4.1,40.4,0.7,0.9,82.8,4.7,2.2,1,0.6,0.8,1,0,12.89
242,Robert Williams IIIBOS,C,52,18.9,8,3.6,5,72.1,0,0,0,0.9,1.4,61.6,6.9,1.8,0.8,1.8,1,4,0,25.71
243,Tyrese MaxeyPHI,PG,61,15.3,8,3.2,7,46.2,0.5,1.7,30.1,1,1.1,87.1,1.7,2,0.4,0.2,0.7,0,0,14.56
244,Mo BambaORL,C,46,15.8,8,3.1,6.5,47.2,0.8,2.6,32.2,1,1.4,68.2,5.8,0.8,0.3,1.3,0.8,4,0,19.39
245,Kenrich WilliamsOKC,SF,66,21.6,8,3.3,6.2,53.3,0.8,1.8,44.4,0.5,1,57.1,4.1,2.3,0.8,0.3,1.2,0,0,13.99
246,Austin RiversNY/DEN,SG,36,23.5,7.9,2.9,6.8,42.4,1.5,4.1,36.9,0.6,0.9,71,2.3,2.3,0.8,0.1,1,0,0,9.92
247,Isaiah StewartDET,C,68,21.4,7.9,3.3,6,55.3,0.3,0.9,33.3,0.9,1.4,69.6,6.7,0.9,0.6,1.3,1,8,0,16.4
248,Anfernee SimonsPOR,SG,64,17.3,7.8,2.6,6.3,41.9,1.9,4.4,42.6,0.7,0.9,80.7,2.2,1.4,0.3,0.1,0.7,0,0,12.38
249,Willy HernangomezNO,C,47,18,7.8,3.2,5.7,56.3,0,0.2,10,1.3,2,66.7,7.1,1.1,0.5,0.5,0.7,11,0,19.65
250,Chuma OkekeORL,PF,45,25.2,7.8,3,7.2,41.7,1.1,3.1,34.8,0.7,0.9,75,4,2.2,1.1,0.5,0.8,0,0,11.78
251,Payton PritchardBOS,PG,66,19.2,7.7,2.8,6.3,44,1.5,3.8,41.1,0.6,0.7,88.9,2.4,1.8,0.6,0.1,0.8,0,0,12.43
252,Tomas SatoranskyCHI,SG,58,22.5,7.7,2.9,5.7,51.4,0.7,2,35.6,1.2,1.4,84.8,2.4,4.7,0.7,0.2,1.7,1,0,13.87
253,P.J. DozierDEN,SG,50,21.8,7.7,3,7.1,41.7,0.9,3,31.5,0.8,1.3,63.6,3.6,1.8,0.6,0.4,0.9,0,0,10.47
254,Mike JamesBKN,PG,13,18.2,7.7,2.6,7.1,37,0.8,2.4,35.5,1.6,2.1,77.8,2.5,4.2,0.5,0.1,1.5,0,0,11.96
255,Naji MarshallNO,SF,32,21.9,7.7,2.6,6.5,39.2,0.9,2.6,34.9,1.7,2.3,70.7,4.6,2.8,0.8,0.3,1.2,3,0,11.38
256,D.J. AugustinMIL/HOU,PG,57,19.8,7.7,2.4,6,39.4,1.5,3.8,38.2,1.5,1.6,90.4,1.6,3.3,0.5,0,1.1,0,0,12.18
257,Isaiah ThomasNO,G,3,16,7.7,3,9,33.3,1,4,25,0.7,0.7,100,1.3,1.7,0.3,0,2,0,0,2.5
258,Ben McLemoreLAL/HOU,SG,53,17.1,7.7,2.5,6.9,37,1.8,5.3,34.6,0.7,1,73.6,1.9,0.7,0.4,0.2,0.8,0,0,8.57
259,Tristan ThompsonBOS,C,54,23.8,7.6,3.1,6,51.8,0,0.1,0,1.3,2.2,59.2,8.1,1.2,0.4,0.6,1.1,5,0,14.27
260,Garrett TempleCHI,SF,56,27.3,7.6,2.8,6.8,41.5,1.2,3.6,33.5,0.7,0.9,80,2.9,2.2,0.8,0.5,1,0,0,8.28
261,Steven AdamsNO,C,58,27.7,7.6,3.3,5.3,61.4,0,0.1,0,1,2.3,44.4,8.9,1.9,0.9,0.7,1.3,13,1,15.15
262,Edmond SumnerIND,PG,53,16.2,7.5,2.8,5.3,52.5,0.7,1.7,39.8,1.3,1.6,81.9,1.8,0.9,0.6,0.2,1,0,0,12.72
263,Patrick BeverleyLAC,PG,37,22.5,7.5,2.5,5.9,42.3,1.5,3.8,39.7,1,1.2,80,3.2,2.1,0.8,0.8,0.9,0,0,12
264,Malachi FlynnTOR,PG,47,19.7,7.5,2.7,7.2,37.4,1.1,3.6,32.1,1,1.2,80.4,2.5,2.9,0.8,0.1,0.9,1,0,10.98
265,Henry EllensonTOR,PF,2,19,7.5,2.5,7,35.7,1,4.5,22.2,1.5,2,75,6,2.5,0,0,0,0,0,12.87
266,Jaxson HayesNO,C,60,16.1,7.5,2.9,4.7,62.5,0.1,0.2,42.9,1.6,2,77.5,4.3,0.6,0.4,0.6,0.7,0,0,19.14
267,DeAndre JordanBKN,C,57,21.9,7.5,3.3,4.4,76.3,0,0,0,0.8,1.6,50,7.5,1.6,0.3,1.1,1.5,6,0,17.14
268,JJ RedickNO/DAL,SG,44,16.4,7.4,2.4,6.1,39.7,1.5,4,37.1,1.1,1.2,94.2,1.5,1.2,0.3,0.1,0.8,0,0,9.95
269,Jalen HarrisTOR,SG,13,13.2,7.4,2.8,5.5,50,1.3,2.8,47.2,0.5,0.7,77.8,1.4,1.3,0.6,0,1.1,0,0,15.29
270,Jalen McDanielsCHA,PF,47,19.2,7.4,2.8,6,46.8,0.7,2.2,33.3,1,1.4,70.3,3.6,1.1,0.6,0.4,1,2,0,11.46
271,Louis KingSAC,PF,6,14.2,7.3,2.8,5.7,50,0.7,1.8,36.4,1,1,100,3,1.5,1.2,0.5,0.7,0,0,21.22
272,JaVale McGeeCLE/DEN,C,46,14.7,7.3,3.1,6.1,51.1,0.1,0.5,20.8,1,1.5,65.7,5.2,0.8,0.4,1.2,1.3,1,0,17.07
273,James JohnsonNO/DAL,PF,51,20.5,7.2,2.9,6.4,44.6,0.6,2.4,25.8,0.9,1.5,59.2,3.5,1.9,0.8,0.8,1.1,0,0,11.41
274,Juancho HernangomezMIN,F,52,17.3,7.2,2.5,5.8,43.5,1.1,3.2,32.7,1.2,1.9,61.9,3.9,0.7,0.4,0.1,0.5,0,0,12.11
275,Justin JacksonOKC/MIL,SF,34,17,7.2,2.6,6.5,40.3,1.1,3.4,30.8,0.9,1.1,83.8,2.3,1.5,0.4,0.1,0.9,0,0,10.49
276,Aaron HolidayIND,PG,66,17.8,7.2,2.6,6.6,39,1,2.8,36.8,1,1.3,81.9,1.3,1.9,0.7,0.2,1,1,0,9.29
277,Khem BirchTOR/ORL,C,67,22.8,7.2,2.8,5.7,49.7,0.2,0.8,25,1.4,1.9,70.5,5.8,1.3,0.7,0.7,0.7,6,0,15.15
278,Kent BazemoreGS,SF,67,19.9,7.2,2.6,5.9,44.9,1.1,2.7,40.8,0.8,1.2,69.2,3.4,1.6,1,0.5,1.2,1,0,10.68
279,Tony BradleyOKC/PHI,C,42,16.3,7.1,3.1,4.7,66.5,0,0.1,0,0.9,1.3,69.1,5.7,0.9,0.4,0.7,0.8,3,0,20.79
280,Dewayne DedmonMIA,C,16,13.1,7.1,2.9,4.1,70.8,0.1,0.3,20,1.3,1.7,74.1,5.4,0.8,0.6,0.4,0.8,1,0,24.57
281,Maxi KleberDAL,PF,50,26.8,7.1,2.3,5.5,42.2,1.7,4.2,41,0.7,0.7,91.9,5.2,1.4,0.5,0.7,0.6,0,0,10.59
282,Draymond GreenGS,PF,63,31.5,7,2.7,6,44.7,0.5,2,27,1.1,1.4,79.5,7.1,8.9,1.7,0.8,3,17,6,13.33
283,Terance MannLAC,SG,67,18.9,7,2.7,5.2,50.9,0.6,1.4,41.8,1.2,1.4,83,3.6,1.6,0.4,0.2,0.6,2,0,13.89
284,Daniel GaffordCHI/WSH,C,54,14.6,7,2.9,4.2,68.4,0,0,0,1.3,2,66.7,4.3,0.5,0.5,1.4,0.8,2,0,22.26
285,Ignas BrazdeikisNY/ORL/PHI,SF,13,19.2,7,2.7,6.4,42.2,0.8,2.2,39.3,0.8,1.1,71.4,3.5,1.3,0.3,0.2,0.9,0,0,9.59
286,Royce O'NealeUTAH,PF,71,31.5,7,2.5,5.5,44.4,1.5,3.9,38.5,0.5,0.6,84.8,6.8,2.5,0.8,0.5,1.2,3,0,9.88
287,Dwight HowardPHI,C,69,17.3,7,2.6,4.4,58.7,0.1,0.3,25,1.8,3,57.6,8.4,0.9,0.4,0.9,1.6,12,0,17.81
288,Georges NiangUTAH,SF,72,16,6.9,2.5,5.6,43.7,1.7,4.1,42.5,0.3,0.3,95.7,2.4,0.8,0.3,0.1,0.7,1,0,11.4
289,R.J. HamptonDEN/ORL,PG,51,17.4,6.9,2.7,6.1,43.5,0.5,1.7,31,1.1,1.6,67.1,3.5,1.7,0.4,0.2,1,3,0,11.18
290,Moritz WagnerBOS/WSH/ORL,C,45,16,6.9,2.3,5.1,45.4,0.7,2,34.1,1.6,1.9,81.6,3.2,1.1,0.6,0.4,1,1,0,12.49
291,Justise WinslowMEM,PF,26,19.5,6.8,2.8,8.1,35.2,0.4,2.1,18.5,0.8,1.3,57.1,4.5,1.9,0.6,0.5,1.4,1,0,6.29
292,Derrick Jones Jr.POR,SF,58,22.7,6.8,2.5,5.2,48.4,0.7,2.3,31.6,1,1.6,64.8,3.5,0.8,0.6,0.9,0.6,0,0,11.92
293,Gorgui DiengSA/MEM,C,38,14.6,6.8,2.2,4.3,52.1,0.8,1.8,42.9,1.5,1.8,86.6,3.7,1.3,0.7,0.4,0.8,0,0,19.2
294,Pat ConnaughtonMIL,SG,69,22.8,6.8,2.4,5.6,43.4,1.5,3.9,37.1,0.4,0.6,77.5,4.8,1.2,0.7,0.3,0.5,0,0,11.32
295,Jaden McDanielsMIN,PF,63,24,6.8,2.6,5.8,44.7,1.1,3.1,36.4,0.4,0.7,60,3.7,1.1,0.6,1,0.7,0,0,8.94
296,Killian HayesDET,PG,26,25.8,6.8,2.7,7.7,35.3,0.8,2.8,27.8,0.5,0.7,82.4,2.7,5.3,1,0.4,3.2,0,0,5.37
297,Jeff TeagueBOS/MIL,PG,55,17.3,6.7,2.2,5.2,43.3,0.7,1.5,43.9,1.6,1.9,84.8,1.6,2.4,0.6,0.2,1.2,0,0,12.34
298,Ish SmithWSH,PG,44,21,6.7,2.9,6.8,43.4,0.4,1.1,36.7,0.4,0.8,57.6,3.4,3.9,0.7,0.3,0.9,0,0,11.68
299,Damyean DotsonCLE,SG,46,19.7,6.7,2.6,6.4,40.6,1,3.5,28.9,0.5,0.8,66.7,2,2,0.3,0.1,0.9,0,0,8.12
300,Dennis Smith Jr.NY/DET,PG,23,18.3,6.7,2.5,6.3,40,0.8,2.5,32.8,0.8,1.1,73.1,2.4,3.3,1,0.6,1.1,1,1,13.66
301,Markieff MorrisLAL,PF,61,19.7,6.7,2.5,6.2,40.5,1.1,3.4,31.1,0.6,0.8,72,4.4,1.2,0.4,0.3,0.9,2,0,9.32
302,Spencer DinwiddieBKN,PG,3,21.3,6.7,2,5.3,37.5,0.7,2.3,28.6,2,2,100,4.3,3,0.7,0.3,1.7,0,0,10.14
303,Abdel NaderPHX,SF,24,14.8,6.7,2.4,4.8,49.1,0.8,1.8,41.9,1.2,1.5,75.7,2.6,0.8,0.4,0.4,0.8,0,0,13.43
304,Trey BurkeDAL,PG,62,14.7,6.6,2.4,5.7,42.8,0.9,2.6,35.4,0.8,0.9,89.5,0.9,1.3,0.6,0.1,0.5,0,0,12.6
305,Nic ClaxtonBKN,PF,32,18.6,6.6,2.8,4.5,62.1,0,0.2,20,1,2,48.4,5.2,0.9,0.7,1.3,0.6,1,0,16.92
306,Xavier TillmanMEM,C,59,18.4,6.6,2.8,5.1,55.9,0.4,1.1,33.8,0.6,0.9,64.2,4.3,1.3,0.7,0.6,0.8,2,0,14.79
307,Alex LenWSH/TOR,C,64,15.3,6.6,2.7,4.3,61.5,0.1,0.4,32,1.1,1.8,62.9,4.1,0.8,0.3,1,0.9,2,0,16.48
308,Frank KaminskyPHX,PF,47,15.2,6.6,2.6,5.5,47.1,0.7,1.8,36.5,0.8,1.3,61.7,4,1.7,0.3,0.4,0.5,2,0,15.84
309,Denzel ValentineCHI,SG,62,16.7,6.5,2.5,6.7,37.3,1.3,3.9,33.1,0.3,0.3,94.1,3.2,1.7,0.5,0.1,0.7,0,0,10.12
310,Damion LeeGS,SG,57,18.9,6.5,2.2,4.8,46.7,1.4,3.4,39.7,0.7,0.8,90.9,3.2,1.3,0.7,0.1,0.5,0,0,11.85
311,Nemanja BjelicaSAC/MIA,PF,37,16.1,6.5,2.4,5.3,45.4,0.7,2.3,31.8,1,1.4,72.5,3.4,1.9,0.4,0.1,0.9,0,0,12.9
312,Marquese ChrissSA/GS,SF,2,13.5,6.5,2.5,7,35.7,0.5,2.5,20,1,2,50,6.5,1,0,1,1,0,0,11.89
